"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","EXC","Exchange rates","1970","1970",,,"0","Units",,,2.46180889882528,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1971","1971",,,"0","Units",,,2.46180889882528,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1972","1972",,,"0","Units",,,2.24506644860066,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1973","1973",,,"0","Units",,,1.98941552463247,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1974","1974",,,"0","Units",,,1.96110708887637,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1975","1975",,,"0","Units",,,1.85982338938658,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1976","1976",,,"0","Units",,,1.94141535102099,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1977","1977",,,"0","Units",,,1.85782338223957,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1978","1978",,,"0","Units",,,1.68358941885647,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1979","1979",,,"0","Units",,,1.55493895401486,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1980","1980",,,"0","Units",,,1.49838605814132,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1981","1981",,,"0","Units",,,1.70454166583333,,
