"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHN","China (People's Republic of)","EXC","Exchange rates","1982","1982",,,"0","Units",,,1.89254166583333,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1983","1983",,,"0","Units",,,1.97567499916667,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1984","1984",,,"0","Units",,,2.32004166625,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1985","1985",,,"0","Units",,,2.93665833325,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1986","1986",,,"0","Units",,,3.45279166658333,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1987","1987",,,"0","Units",,,3.7221,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1988","1988",,,"0","Units",,,3.7221,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1989","1989",,,"0","Units",,,3.76510833333333,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1990","1990",,,"0","Units",,,4.78320833333333,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1991","1991",,,"0","Units",,,5.32339166666667,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1992","1992",,,"0","Units",,,5.51459166666667,,
"CHN","China (People's Republic of)","EXC","Exchange rates","1993","1993",,,"0","Units",,,5.76195833333333,,
